# 2 MBONs, 4 MBONs, 8 MBONs, 16 MBONs, 32 MBONs, 
5.411906167864799500e-02,8.046647906303405762e-02,3.391340970993041992e-01,1.385917663574218750e-01,4.362716972827911377e-01
3.887224942445755005e-02,5.201198160648345947e-02,1.853534430265426636e-01,4.807564988732337952e-02,1.072039306163787842e-01
4.050408676266670227e-02,4.640833660960197449e-02,1.718915551900863647e-01,5.513022094964981079e-02,7.689482718706130981e-02
3.223071247339248657e-02,5.173156037926673889e-02,1.073654070496559143e-01,3.552976623177528381e-02,5.824796482920646667e-02
4.764429479837417603e-02,6.331869214773178101e-02,1.029565185308456421e-01,4.106079414486885071e-02,6.055204197764396667e-02
3.786099329590797424e-02,4.143947362899780273e-02,9.121898561716079712e-02,4.239375516772270203e-02,4.826721176505088806e-02
1.966434530913829803e-02,5.451143532991409302e-02,8.334957063198089600e-02,3.767672553658485413e-02,3.589397296309471130e-02
4.224888235330581665e-02,3.801536187529563904e-02,6.044987589120864868e-02,2.839773707091808319e-02,3.045572899281978607e-02
3.403339162468910217e-02,5.056297779083251953e-02,6.900554150342941284e-02,3.558861836791038513e-02,4.181586951017379761e-02
3.251506388187408447e-02,2.240631170570850372e-02,5.833017081022262573e-02,2.306656725704669952e-02,3.072424046695232391e-02
2.760701626539230347e-02,3.387494012713432312e-02,4.867788776755332947e-02,2.789344452321529388e-02,3.983138501644134521e-02
2.966729365289211273e-02,4.793014377355575562e-02,3.343328461050987244e-02,2.440173365175724030e-02,3.038096055388450623e-02
4.345424100756645203e-02,3.675447031855583191e-02,3.361155092716217041e-02,2.697881311178207397e-02,3.242382779717445374e-02
1.901815459132194519e-02,4.143375158309936523e-02,3.959987685084342957e-02,3.001927025616168976e-02,3.317410498857498169e-02
2.797542884945869446e-02,1.893123239278793335e-02,3.442358225584030151e-02,2.744448371231555939e-02,2.935869805514812469e-02
3.197821229696273804e-02,3.254359215497970581e-02,3.405194729566574097e-02,2.922922372817993164e-02,3.136340528726577759e-02
2.720471657812595367e-02,4.313614219427108765e-02,3.368425741791725159e-02,2.193634398281574249e-02,2.163022011518478394e-02
